program_id,curriculum,min_gpa,min_ib_total,min_sat,min_act,required_subjects,language_tests,other_requirements
39634d55-0664-55d7-a2ef-b19a1b7b25b3,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; With three Higher Level subjects at 555 | Subjects: We don't assume you have any knowledge of anthropology, and welcome applications from anyone with arts, social studies or science backgrounds. | English: IELTS (Academic), 6 (with a 6.0 in writing and no element lower than 5.5)"
7b436c43-fabe-5df0-befb-a5fc812cdd8e,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; With three Higher Level subjects at 555 | Subjects: We welcome applicants from a wide range of backgrounds who either meet standard university entry requirements or can demonstrate appropriate levels of knowledge and skill in a portfolio of entry. Certification by means of GNVC, Access, NVQ, BTEC, College Foundation Certificate, AS and A Level is accepted, in many subject areas - for example, in Psychology, Cultural Studies, Art, Dance, Social Studies, Drama, Anthropology, Sociology, English, Politics, Media and Communications, History, and Film Studies. If you believe you may not meet the standard qualification requirements we would still encourage you to apply because we consider all aspects of your application when making a decision. | English: IELTS (Academic), 6 (With a 6.0 in writing and no element lower than 5.5)"
8b90e369-18b1-5c26-969e-c4c39d08fdf2,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; With three Higher Level subjects at 555 | English: IELTS (Academic), 6 (With a 6.0 in writing and no element lower than 5.5)"
39634d55-0664-55d7-a2ef-b19a1b7b25b3,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; With three Higher Level subjects at 555 | Subjects: We don't assume you have any knowledge of anthropology, and welcome applications from anyone with arts, social studies or science backgrounds. | English: IELTS (Academic), 6 (with a 6.0 in writing and no element lower than 5.5)"
9be0f99f-2c3d-5b8e-9afc-a1f03bef92f9,,,,,,,"{""ielts"":6}","Subjects: There are no formal entrance requirements, but in your personal statement you should demonstrate an interest in and aptitude for the subject, and the ability to benefit from studying the programme. | English: IELTS (Academic), 6 (with a 6.0 in writing and no element lower than 5.5)"
f35ad09b-9e8b-52a8-8412-fd27d28df221,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; 33 points overall with Three HL subjects at 555 | Subjects: We welcome students with a range of educational experiences. If you believe you may not meet the standard qualification requirements we would still encourage you to apply because we consider all aspects of your application when making a decision. We’ll pay particularly careful attention to your personal statement, which is your opportunity to demonstrate your interest in the subject you’ve applied for. Your referees are also welcome to include any relevant contextual comments around your academic achievements. We’ll look at all these things when making a decision on your application, as well as your qualifications and grades, and may still be able to offer you a place. | English: IELTS (Academic), 6 (With a 6.0 in writing and no element lower than 5.5)"
7b436c43-fabe-5df0-befb-a5fc812cdd8e,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; With three Higher Level subjects at 555 | Subjects: We welcome applicants from a wide range of backgrounds who either meet standard university entry requirements or can demonstrate appropriate levels of knowledge and skill in a portfolio of entry. Certification by means of GNVC, Access, NVQ, BTEC, College Foundation Certificate, AS and A Level is accepted, in many subject areas - for example, in Psychology, Cultural Studies, Art, Dance, Social Studies, Drama, Anthropology, Sociology, English, Politics, Media and Communications, History, and Film Studies. If you believe you may not meet the standard qualification requirements we would still encourage you to apply because we consider all aspects of your application when making a decision. | English: IELTS (Academic), 6 (With a 6.0 in writing and no element lower than 5.5)"
8b90e369-18b1-5c26-969e-c4c39d08fdf2,,,27,,,,"{""ielts"":6}","A-level: CCC | IB: 27 points; With three Higher Level subjects at 555 | English: IELTS (Academic), 6 (With a 6.0 in writing and no element lower than 5.5)"
e84d5661-197e-5252-ac3f-b101048d0b88,,,27,,,,,"A-level: CCC; If you don't have a Science or Mathematics-based A-level, you should normally have at least Grade B/Grade 6 at GCSE Mathematics. | IB: 27 points; With three Higher Level subjects at 555. If you don't have a Science or Mathematics-based Higher Level, you should normally have at least Grade B/Grade 6 at GCSE (or equivalent) Mathematics. | Subjects: If you don't have a Science or Mathematics-based A-level or equivalent, you should normally have at least Grade B/Grade 6 at GCSE Mathematics. If you're already studying for the BSc in Computing and Information Systems on the University of London International Programme, you may transfer into the second or third year of this degree."
d17ebd25-87dd-5bbc-a7df-eb15d95f148a,,,,,,,"{""ielts"":6}","Subjects: There are no specific formal entrance qualifications for this programme and we will consider all relevant qualifications and related experience. | English: IELTS (Academic), 6 (With no element lower than 5.5)"
